movie_id,director_id
tt0468569,nm0634240
tt0110357,nm0021249
tt0110357,nm0591450
tt0038650,nm0001008
tt0468569,nm0634240
tt7466810,nm7882203
tt0109830,nm0000709
tt0108052,nm0000229
tt5074352,nm4318159
tt15398776,nm0634240
tt0167260,nm0001392
tt9362722,nm1690966
tt9362722,nm5358492
tt9362722,nm1042511
tt8503618,nm2371802
tt1375666,nm0634240
tt0118799,nm0000905
tt0118849,nm0006498
tt0038650,nm0001008
tt0120737,nm0001392
tt10280296,nm1999473
tt0245429,nm0594503
tt0088763,nm0000709
tt2356180,nm1018493
tt0118799,nm0000905
tt0045152,nm0002045
tt0045152,nm0000037
tt0114369,nm0000399
tt1375666,nm0634240
tt0110357,nm0021249
tt0110357,nm0591450
tt0112573,nm0000154
tt1675434,nm0619923
tt1675434,nm0865918
tt20850406,nm2380725
tt0102926,nm0001129
tt0367110,nm0332950
tt0167261,nm0001392
tt1620933,nm0223606
tt8503618,nm2371802
tt0027977,nm0000122
tt0034583,nm0002031
tt4633694,nm2130108
tt4633694,nm0709056
tt4633694,nm0745247
tt1562872,nm0015295
tt0133093,nm0905154
tt0133093,nm0905152
tt6751668,nm0094435
tt1950186,nm0003506
tt6316138,nm8631915
tt0095765,nm0868153
tt2380307,nm0881279
tt2380307,nm2937122
tt0021749,nm0000122
tt0080684,nm0449984
tt0407887,nm0000217
tt0057115,nm0836328
tt0075148,nm0000814
tt0059742,nm0936404
tt0910970,nm0004056
tt0027977,nm0000122
tt4633694,nm2130108
tt4633694,nm0709056
tt4633694,nm0745247
tt0363163,nm0386570
tt0032138,nm0281808
tt0032138,nm0896542
tt0110413,nm0000108
tt0114709,nm0005124
tt10189514,nm1464314
tt1979320,nm0000165
tt1187043,nm0386246
tt0021749,nm0000122
tt8291224,nm2336554
tt1291584,nm0640334
tt1049413,nm0230032
tt9362722,nm1690966
tt9362722,nm5358492
tt9362722,nm1042511
tt1049413,nm0677037
tt0482571,nm0634240
tt0073707,nm0802693
tt0057012,nm0000040
tt7019842,nm4242320
tt2119532,nm0000154
tt0081398,nm0000217
tt0114814,nm0001741
tt0169102,nm0332950
tt0435761,nm0881279
tt0076759,nm0000184
tt0032553,nm0000122
tt0405159,nm0000142
tt2024544,nm2588606
tt5311514,nm1396121
tt0047396,nm0000033
tt0066763,nm0611531
tt0986264,nm0451148
tt0986264,nm1244760
tt0114709,nm0005124
tt0103064,nm0000116
tt0119217,nm0001814
tt0054215,nm0000033
tt0395169,nm0313623
tt0169102,nm0332950
tt3783958,nm3227090
tt4729430,nm0655053
tt4729430,nm3582089
tt0047478,nm0000041
tt0338013,nm0327273
tt0053604,nm0000697
tt0871510,nm0024912
tt0364569,nm0661791
tt0101414,nm0873779
tt0101414,nm0936374
tt0074896,nm0002160
tt0052357,nm0000033
tt0347149,nm0594503
tt1049413,nm0230032
tt1049413,nm0677037
tt0056058,nm0462030
tt0352248,nm0000165
tt0060107,nm0001789
tt7286456,nm0680846
tt0103639,nm0166256
tt0103639,nm0615780
tt0053604,nm0000697
tt0266543,nm0004056
tt0266543,nm0881279
tt20850406,nm2380725
tt0211915,nm0000466
tt0067093,nm0422484
tt0054997,nm0744035
tt1345836,nm0634240
tt0019254,nm0003433
tt0211915,nm0000466
tt0435761,nm0881279
tt0172495,nm0000631
tt0118849,nm0006498
tt0107688,nm0783139
tt4169250,nm14112827
tt4169250,nm3109770
tt0045152,nm0002045
tt0045152,nm0000037
tt0090605,nm0000116
tt0053946,nm0006452
tt0110413,nm0000108
tt0012349,nm0000122
tt0045152,nm0002045
tt0045152,nm0000037
tt0080455,nm0000484
tt0209144,nm0634240
tt1504320,nm0393799
tt9052870,nm4318159
tt1125849,nm0004716
tt0070735,nm0001351
tt0476735,nm1463981
tt23289160,nm0945724
tt0168629,nm0001885
tt0091251,nm0459552
tt0031381,nm0281808
tt0031381,nm0002030
tt0031381,nm0939992
tt0102138,nm0000231
tt0059742,nm0936404
tt9052870,nm4318159
tt0210945,nm0945026
tt0347304,nm0012541
tt0082971,nm0000229
tt0083987,nm0000277
tt0051201,nm0000697
tt0053291,nm0000697
tt4729430,nm0655053
tt4729430,nm3582089
tt0964517,nm0751102
tt0032138,nm0281808
tt0032138,nm0896542
tt0364569,nm0661791
tt0104940,nm0005008
tt1305806,nm0002728
tt0808417,nm1749112
tt0808417,nm2277869
tt0405094,nm0003697
tt0993846,nm0000217
tt1201607,nm0946734
tt0067992,nm0835799
tt0108037,nm0262693
tt4154796,nm0751577
tt4154796,nm0751648
tt0057565,nm0000041
tt0078748,nm0000631
tt0167260,nm0001392
tt1375666,nm0634240
tt0068646,nm0000338
tt0412080,nm0002044
tt15097216,nm4377096
tt0167260,nm0001392
tt0054215,nm0000033
tt0120815,nm0000229
tt0816692,nm0634240
tt0468569,nm0634240
tt0120737,nm0001392
tt0120689,nm0001104
tt0120737,nm0001392
tt23289160,nm0945724
tt0118799,nm0000905
tt0071562,nm0000338
tt0133093,nm0905154
tt0133093,nm0905152
tt0167261,nm0001392
tt0081505,nm0000040
tt0114369,nm0000399
tt1375666,nm0634240
tt0034583,nm0002031
tt0050083,nm0001486
tt0080684,nm0449984
tt0080684,nm0449984
tt0167261,nm0001392
tt0084787,nm0000118
tt0110912,nm0000233
tt0253474,nm0000591
tt0245429,nm0594503
tt0038650,nm0001008
tt9362722,nm1690966
tt9362722,nm5358492
tt9362722,nm1042511
tt0056058,nm0462030
tt0060196,nm0001466
tt0099685,nm0000217
tt0095327,nm0847223
tt8239946,nm9751348
tt8239946,nm1628153
tt8239946,nm4205110
tt9362722,nm1690966
tt9362722,nm5358492
tt9362722,nm1042511
tt0076759,nm0000184
tt15097216,nm4377096
tt7466810,nm7882203
tt0361748,nm0000233
tt0120689,nm0001104
tt0070047,nm0001243
tt20850406,nm2380725
tt0103064,nm0000116
tt0078788,nm0000338
tt0816692,nm0634240
tt0046911,nm0167241
tt0245429,nm0594503
tt0120689,nm0001104
tt0088763,nm0000709
tt0482571,nm0634240
tt0091251,nm0459552
tt0080684,nm0449984
tt0063522,nm0000591
tt0076759,nm0000184
tt0114369,nm0000399
tt0078748,nm0000631
tt0114814,nm0001741
tt9362722,nm1690966
tt9362722,nm5358492
tt9362722,nm1042511
tt0057012,nm0000040
tt4633694,nm2130108
tt4633694,nm0709056
tt4633694,nm0745247
tt0056687,nm0000736
tt0102926,nm0001129
tt0482571,nm0634240
tt0047396,nm0000033
tt0082096,nm0000583
tt0245429,nm0594503
tt0010323,nm0927468
tt5311514,nm1396121
tt0317248,nm0576987
tt0317248,nm0526199
tt0054215,nm0000033
tt23289160,nm0945724
tt0050825,nm0000040
tt0076759,nm0000184
tt0365748,nm0942367
tt2380307,nm0881279
tt2380307,nm2937122
tt0407887,nm0000217
tt4154796,nm0751577
tt4154796,nm0751648
tt0364569,nm0661791
tt0172495,nm0000631
tt0032553,nm0000122
tt0013442,nm0003638
tt0114709,nm0005124
tt0110413,nm0000108
tt0209144,nm0634240
tt0112573,nm0000154
tt0088763,nm0000709
tt0024216,nm0178260
tt0024216,nm0774325
tt4633694,nm2130108
tt4633694,nm0709056
tt4633694,nm0745247
tt0119698,nm0594503
tt0114814,nm0001741
tt0090605,nm0000116
tt1255953,nm0898288
tt0078788,nm0000338
tt0110357,nm0021249
tt0110357,nm0591450
tt5052448,nm1443502
tt0086190,nm0549658
tt0120586,nm0443411
tt4154756,nm0751577
tt4154756,nm0751648
tt23289160,nm0945724
tt0093058,nm0000040
tt0051201,nm0000697
tt0093773,nm0001532
tt0435761,nm0881279
tt7286456,nm0680846
